"";"species";"Abrev"
"1214";"Tabernaemontana arborea";"Tabe"
"1215";"Vasivaea podocarpa";"Vasi"
"1216";"Zapoteca tetragona";"Zapo"
"1217";"Lepidoblepharis sanctaemartae";"Lepi"
"1218";"Muntingia calabura";"Munt"
"1219";"Hura crepitans";"Hura"
"1220";"Ochroma pyramidale";"Ochr"
"1221";"Leptodactylus fuscus";"Lept"
"1222";"Lithobates vaillanti";"Lith"
"1223";"Rhinella marina";"Rhin"
"1224";"Anolis frenatus";"Anol"
"1225";"Bothrops asper";"Both"
"1226";"Copeoglossum nigropunctatum";"Cope"
"1227";"Leptodeira annulata";"Lept"
"1228";"Micrurus dumerilii";"Micr"
"1229";"Oxyrhopus petolarius";"Oxyr"
"1230";"Rhinobothryum bovallii";"Rhin"
"1231";"Stenorrhina degenhardtii";"Sten"
"1232";"Tretioscincus bifasciatus";"Tret"
"1233";"Calycolpus moritzianus";"Caly"
"1234";"Solanum mammosum";"Sola"
"1235";"Spachea membranacea";"Spac"
"1236";"Zanthoxylum lenticulare";"Zant"
"1237";"Andira macrothyrsa";"Andi"
"1238";"Wittmackanthus stanleyanus";"Witt"
"1239";"Acroceras zizanioides";"Acro"
"1240";"Urochloa fusca";"Uroc"
"1241";"Sigmodon hirsutus";"Sigm"
"1242";"Cardiospermum grandiflorum";"Card"
"1243";"Sesbania exasperata";"Sesb"
"1244";"Leptodeira septentrionalis";"Lept"
"1245";"Nerius plurivittatus";"Neri"
"1246";"Holcosus festivus";"Holc"
"1247";"Xiphorhynchus erythropygius";"Xiph"
"1248";"Bursera inversa";"Burs"
"1249";"Casearia obovalis";"Case"
"1250";"Cavanillesia platanifolia";"Cava"
"1251";"Chrysothemis friedrichsthaliana";"Chry"
"1252";"Iryanthera juruensis";"Irya"
"1253";"Philodendron hederaceum";"Phil"
"1254";"Dieffenbachia killipii";"Dief"
"1255";"Reinhardtia simplex";"Rein"
"1256";"Annona mucosa";"Anno"
"1257";"Fairchildia panamensis";"Fair"
"1258";"Gustavia dubia";"Gust"
"1259";"Paullinia rubiginosa";"Paul"
"1260";"Sorocea pubivena";"Soro"
"1261";"Zanthoxylum pucro";"Zant"
"1262";"Persea americana";"Pers"
"1263";"Theobroma cacao";"Theo"
"1264";"Cocos nucifera";"Coco"
"1265";"Carica papaya";"Cari"
"1266";"Marisora unimarginata";"Mari"
"1267";"Molossus molossus";"Molo"
"1268";"Aechmea setigera";"Aech"
"1269";"Mastigodryas pleii";"Mast"
"1270";"Tupinambis cryptus";"Tupi"
"1271";"Chironius spixii";"Chir"
"1272";"Solanum jamaicense";"Sola"
"1273";"Artocarpus altilis";"Arto"
"1274";"Casimiroa edulis";"Casi"
"1275";"Melicoccus bijugatus";"Meli"
"1276";"Bunocephalus colombianus";"Buno"
"1277";"Gasteropelecus maculatus";"Gast"
"1278";"Picramnia antidesma";"Picr"
"1279";"Ara militaris";"Ara "
"1280";"Campylorhynchus albobrunneus";"Camp"
"1281";"Coccyzus erythropthalmus";"Cocc"
"1282";"Colaptes rubiginosus";"Cola"
"1283";"Cyanerpes caeruleus";"Cyan"
"1284";"Dendrocolaptes sanctithomae";"Dend"
"1285";"Dumetella carolinensis";"Dume"
"1286";"Electron platyrhynchum";"Elec"
"1287";"Empidonax traillii";"Empi"
"1288";"Euphonia minuta";"Euph"
"1289";"Glaucis aeneus";"Glau"
"1290";"Harpagus bidentatus";"Harp"
"1291";"Helmitheros vermivorum";"Helm"
"1292";"Leptopogon amaurocephalus";"Lept"
"1293";"Glyphorynchus spirurus";"Glyp"
"1294";"Ornithion brunneicapillus";"Orni"
"1295";"Leuconotopicus fumigatus";"Leuc"
"1296";"Myiopagis caniceps";"Myio"
"1297";"Piranga flava";"Pira"
"1298";"Phaethornis syrmatophorus";"Phae"
"1299";"Psarocolius guatimozinus";"Psar"
"1300";"Progne subis";"Prog"
"1301";"Seiurus aurocapilla";"Seiu"
"1302";"Pulsatrix perspicillata";"Puls"
"1303";"Tolmomyias assimilis";"Tolm"
"1304";"Setophaga cerulea";"Seto"
"1305";"Setophaga citrina";"Seto"
"1306";"Setophaga magnolia";"Seto"
"1307";"Spizaetus tyrannus";"Spiz"
"1308";"Terenotriccus erythrurus";"Tere"
"1309";"Turdus ignobilis";"Turd"
"1310";"Turdus obsoletus";"Turd"
"1311";"Vermivora chrysoptera";"Verm"
"1312";"Rugoloa polygonata";"Rugo"
"1313";"Acrocinus longimanus";"Acro"
"1314";"Heilipodus unifasciatus";"Heil"
"1315";"Heilus bioculatus";"Heil"
"1316";"Hypoptus macularis";"Hypo"
"1317";"Hypothenemus obscurus";"Hypo"
"1318";"Metamasius hebetatus";"Meta"
"1319";"Strongylium auratum";"Stro"
"1320";"Aristolochia cordiflora";"Aris"
"1321";"Pachycondyla villosa";"Pach"
"1322";"Cyclocephala lunulata";"Cycl"
"1323";"Alibertia patinoi";"Alib"
"1324";"Grias haughtii";"Gria"
"1325";"Manekia incurva";"Mane"
"1326";"Urera capitata";"Urer"
"1327";"Euligyrus similis";"Euli"
"1328";"Phyllophaga menetriesi";"Phyl"
"1329";"Tomarus bituberculatus";"Toma"
"1330";"Stromanthe jacquinii";"Stro"
"1331";"Jacaranda hesperia";"Jaca"
"1332";"Justicia filibracteolata";"Just"
"1333";"Mouriri completens";"Mour"
"1334";"Naucleopsis ulei";"Nauc"
"1335";"Caularthron bilamellatum";"Caul"
"1336";"Ectatomma ruidum";"Ecta"
"1337";"Psarocolius angustifrons";"Psar"
"1338";"Ectatomma tuberculatum";"Ecta"
"1339";"Ochthera regalis";"Ocht"
"1340";"Jacaratia spinosa";"Jaca"
"1341";"Rattus rattus";"Ratt"
"1342";"Epicrates maurus";"Epic"
"1343";"Steatornis caripensis";"Stea"
"1344";"Astronium lecointei";"Astr"
"1345";"Calycophyllum candidissimum";"Caly"
"1346";"Capparidastrum frondosum";"Capp"
"1347";"Coccoloba densifrons";"Cocc"
"1348";"Connarus williamsii";"Conn"
"1349";"Faramea sessiliflora";"Fara"
"1350";"Machaerium lanceolatum";"Mach"
"1351";"Petrea volubilis";"Petr"
"1352";"Pithecellobium lanceolatum";"Pith"
"1353";"Pombalia prunifolia";"Pomb"
"1354";"Rinorea sylvatica";"Rino"
"1355";"Sapium laurifolium";"Sapi"
"1356";"Schizolobium parahyba";"Schi"
"1357";"Stenosepala hirsuta";"Sten"
"1358";"Stylogyne turbacensis";"Styl"
"1359";"Trichostigma octandrum";"Tric"
"1360";"Magnolia sambuensis";"Magn"
"1361";"Astrocaryum standleyanum";"Astr"
"1362";"Gustavia monocaulis";"Gust"
"1363";"Lindackeria laurina";"Lind"
"1364";"Dieffenbachia obscurinervia";"Dief"
"1365";"Annona muricata";"Anno"
"1366";"Pseudosamanea guachapele";"Pseu"
"1367";"Brassavola nodosa";"Bras"
"1368";"Monstera deliciosa";"Mons"
"1369";"Croton schiedeanus";"Crot"
